planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
CWISE J1519-4858 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-07-17,Published in a refereed paper,Imaging,"CWISE J151939.68-485820.4, CWISE J151940.47-485810.2 b",unkown,229.918625,-48.9695,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J1606-1032 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,640.0,2024,2024-07-29,Published in a refereed paper,Imaging,"CWISE J160654.19-103214.7, CWISE J160653.16-103210.6 b",CWISE J1606-1032,241.7215,-10.536277777777778,13.66,13.08,40.63,3.73,3.73,0.01,0.1,0.1,0.1,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J160653.16-103210.6
CWISE J1651+6953 b,Confirmed,50.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,700.0,2024,2024-07-29,Published in a refereed paper,Imaging,"CWISE J165143.63+695259.4, CWISE J165141.67+695306.6 b",CWISE J1651+6953,252.923625,69.88516666666666,15.66,14.7,56.5,3.73,3.73,0.01,0.1,0.1,0.08,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J165141.67+695306.6
CWISE J190907.63+553037.3,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-06-23,Published in a refereed paper,Imaging,unkown,unkown,287.28179166666666,55.51036111111111,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J190907.63+553037.3 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-06-23,Published in a refereed paper,Imaging,CWISE J190909.62+553027.1,unkown,287.28179166666666,55.51036111111111,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISEP J144606.62-231717.8,Confirmed,11.0,9.0,9.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2019,2020-10-15,Published in a refereed paper,Imaging,CW1446,unkown,221.52758333554,-23.2882777874,12.782,12.386,10.1,1.3,1.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISEP J1935-1546,Confirmed,11.0,9.0,9.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2019,2024-07-14,Published in a refereed paper,Imaging,unkown,unkown,293.827793,-15.7723462,12.782,12.386,10.1,1.3,1.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
DANCe J15454024-2422072,Confirmed,8.0,3.0,3.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2022,2022-08-03,Published in a refereed paper,Imaging,unkown,unkown,236.41766668008,-24.3686666756,12.782,12.386,145.0,45.0,45.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
DANCe J15481655-2307430,Confirmed,12.0,3.0,3.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2022,2022-08-03,Published in a refereed paper,Imaging,unkown,unkown,237.06895833885,-23.128611123,12.782,12.386,145.0,45.0,45.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
DANCe J15582895-2530319,Confirmed,7.0,2.0,2.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2022,2022-08-03,Published in a refereed paper,Imaging,unkown,unkown,239.62062500965,-25.5088611282,12.782,12.386,145.0,45.0,45.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
