system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,planet_name,planet_radius,planet_temperature,planet_period,semi_major_axis,discovery_method,is_transiting,discovery_year
EPIC 201505350,EPIC 201505350,0.93,0.86,5430.0,0.1,EPIC 201505350 c,0.434,762.0,11.90715,0.0971,transit,1,2015.0
EPIC 201505350,EPIC 201505350,0.93,0.86,5430.0,0.1,EPIC 201505350 b,0.691,762.0,7.9194,0.074,transit,1,2015.0
EPIC 201505350,EPIC 201505350,0.93,0.86,5430.0,0.1,EPIC 201505350 d,0.102,762.0,2.50856,0.0344,transit,1,2015.0
EPIC 201546283,EPIC 201546283,0.89,0.85,5320.0,0.14,EPIC 201546283 b,0.397,762.0,6.77145,0.104541,transit,1,2015.0
EPIC 201565013,EPIC 201565013,0.51,0.5,3987.0,-0.44,EPIC 201565013 b,1.472,536.0,8.6381,0.0669,transit,1,2015.0
EPIC 201577035,EPIC 201577035,0.92,0.98,5620.0,-0.07,EPIC 201577035 b,0.3426,762.0,19.3044,0.104541,transit,1,2015.0
EPIC 201595106,EPIC 201595106,1.02,0.93,5820.0,-0.01,EPIC 201595106 b,0.116,1874.0,0.877214,0.104541,transit,1,2021.0
EPIC 201596316,EPIC 201596316,1.35,5.15,5433.0,-0.12,EPIC 201596316 b,0.695,734.0,39.93767,0.2257,transit,1,2015.0
EPIC 201613023,EPIC 201613023,1.01,1.01,5800.0,0.03,EPIC 201613023 b,0.214,1003.0,8.28212,0.0802,transit,1,2015.0
EPIC 201617985,EPIC 201617985,0.52,0.49,3742.0,-0.08,EPIC 201617985 b,0.164,518.0,7.28161,0.0586,transit,1,2015.0
EPIC 201635569,EPIC 201635569,0.47,0.45,3789.0,-0.37,EPIC 201635569 b,0.443,488.0,8.36802,0.0627,transit,1,2015.0
EPIC 201736247,EPIC 201736247,0.72,0.68,5131.0,-0.46,EPIC 201736247 b,0.228,676.0,11.8104,0.091,transit,1,2015.0
EPIC 201757695,EPIC 201757695,0.73,0.66,4520.0,-0.003,EPIC 201757695 b,0.081,762.0,2.0478,0.0296,transit,1,2020.0
EPIC 201841433,EPIC 201841433,0.8,0.945,5645.0,0.0,EPIC 201841433 b,0.098,762.0,4.16959,0.104541,transit,1,2019.0
EPIC 201855371,EPIC 201855371,0.71,0.66,4320.0,0.15,EPIC 201855371 b,0.205,487.0,17.96753,0.119,transit,1,2015.0
EPIC 201912552,EPIC 201912552,0.359,0.411,3457.0,0.09,EPIC 201912552 b,0.2123,762.0,32.93963,0.143,transit,1,2015.0
EPIC 201912552,EPIC 201912552,0.359,0.411,3457.0,0.09,K2-18 c,0.203,762.0,8.962,0.06,RV,0,2017.0
EPIC 203311200,EPIC 203311200,0.91,0.94,5200.0,0.0,EPIC 203311200 b,0.51,762.0,540.0,1.25,transit,1,2015.0
EPIC 203771098,EPIC 203771098,1.12,1.21,5743.0,0.42,EPIC 203771098 b,0.52,762.0,20.88508,0.1542,transit,1,2015.0
EPIC 203771098,EPIC 203771098,1.12,1.21,5743.0,0.42,EPIC 203771098 c,0.723,762.0,42.36342,0.2471,transit,1,2015.0
EPIC 203826436,EPIC 203826436,0.9,0.85,5413.0,-0.03,EPIC 203826436 b,0.144,762.0,4.44117,0.0511,transit,1,2015.0
EPIC 203826436,EPIC 203826436,0.9,0.85,5413.0,-0.03,EPIC 203826436 c,0.245,762.0,6.42904,0.0654,transit,1,2015.0
EPIC 203826436,EPIC 203826436,0.9,0.85,5413.0,-0.03,EPIC 203826436 d,0.244,762.0,14.09189,0.1103,transit,1,2015.0
EPIC 204129699,EPIC 204129699,0.91,0.78,5280.0,0.08,EPIC 204129699 b,0.203,762.0,1.25785,0.022,transit,1,2015.0
EPIC 204221263,EPIC 204221263,1.07,1.1,5757.0,0.28,EPIC 204221263 b,0.138,762.0,4.01593,0.0506,transit,1,2015.0
EPIC 204221263,EPIC 204221263,1.07,1.1,5757.0,0.28,EPIC 204221263 c,0.216,762.0,10.56103,0.0964,transit,1,2015.0
EPIC 205117205,EPIC 205117205,0.54,1.06,3540.0,0.0,K2-33 b,0.451,762.0,5.42513,0.0409,transit,1,2016.0
EPIC 206011691,EPIC 206011691,0.64,0.6,4043.0,-0.11,EPIC 206011691 b,0.142,762.0,9.32414,0.0731,transit,1,2015.0
EPIC 206011691,EPIC 206011691,0.64,0.6,4043.0,-0.11,EPIC 206011691 c,0.171,762.0,15.5012,0.1026,transit,1,2015.0
EPIC 206024342,EPIC 206024342,0.93,0.945,5645.0,0.0,EPIC 206024342 b,0.152,762.0,4.50756,0.104541,transit,1,2019.0
EPIC 206032309,EPIC 206032309,0.22,0.945,5645.0,0.0,EPIC 206032309 b,0.09,762.0,2.87814,0.104541,transit,1,2019.0
EPIC 206042996,EPIC 206042996,0.56,0.945,5645.0,0.0,EPIC 206042996 b,0.145,762.0,5.29711,0.104541,transit,1,2019.0
EPIC 206215704,EPIC 206215704,0.41,0.945,5645.0,0.0,EPIC 206215704 b,0.08,762.0,2.25372,0.104541,transit,1,2019.0
EPIC 206317286,EPIC 206317286,0.71,0.945,5645.0,0.0,EPIC 206317286 b,0.086,762.0,1.58252,0.104541,transit,1,2019.0
EPIC 206318379,EPIC 206318379,0.264,0.293,3214.0,0.31,EPIC 206318379 b,0.212,762.0,2.26041,0.0216,transit,1,2015.0
EPIC 210363145,EPIC 210363145,0.8,0.76,4970.0,0.29,EPIC 210363145 b,0.2052,762.0,8.199796,0.104541,transit,1,2016.0
EPIC 210490365,EPIC 210490365,0.294,0.295,3180.0,0.15,EPIC 210490365 b,0.306,762.0,3.484552,0.104541,transit,1,2015.0
EPIC 211089792,EPIC 211089792,0.94,0.86,5645.0,0.0,K2-29 b,1.19,762.0,3.2588321,0.04217,transit,1,2016.0
EPIC 211391664,EPIC 211391664,1.074,1.311,6120.0,-0.2,EPIC 211391664 b,0.38,762.0,10.13675,0.0943,transit,1,2016.0
EPIC 211822797,EPIC 211822797,0.61,0.59,3880.0,0.14,EPIC 211822797 b,0.196,762.0,21.169619,0.104541,transit,1,2016.0
